Country,Region,Level of transmission,Week,"''"
Belgium,Prov. Limburg (Be),Not reported,2020-W38,-
Belgium,Prov. Limburg (Be),Not reported,2020-W39,-
Belgium,Prov. Luxembourg (Be),Not reported,2020-W01,-
Belgium,Prov. Luxembourg (Be),Not reported,2020-W02,-
Belgium,Prov. Luxembourg (Be),Not reported,2020-W03,-
Belgium,Prov. Luxembourg (Be),Not reported,2020-W04,-
Belgium,Prov. Luxembourg (Be),Not reported,2020-W05,-
Belgium,Prov. Luxembourg (Be),Not reported,2020-W06,-
Belgium,Prov. Luxembourg (Be),Not reported,2020-W07,-
Belgium,Prov. Luxembourg (Be),Not reported,2020-W08,-
Belgium,Prov. Luxembourg (Be),Not reported,2020-W09,-
Belgium,Prov. Luxembourg (Be),Not reported,2020-W10,-
